Label,component,store,Parent,Displays In,Shows when,
Transport,Panel,uiStore,Root,Root,Power on,
Play/Pause,Toggle,audioStore,Transport,Transport,Power on,
Stop,Button,audioStore,Transport,Transport,Power on,
Mute,Toggle,audioStore,Transport,Transport,Power on,
Volume,Slider,audioStore,Transport,Transport,Power on,
Measure,Display,audioStore,Transport,Transport,Power on,
Time of day,Display,oceanStore,Transport,Transport,Power on,
World View,Panel,uiStore,Root,Root,Power on,
Console,Panel,uiStore,Root,Root,Power on,
Console Navigation,Navigation,uiStore,Console,Console,Power on,
Session Settings,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,
New World,Button with confirmation,sessionStore,Session Settings,Console,Parent Nav Item Selected,
Save World to local storage,Button with confirmation,sessionStore,Session Settings,Console,Parent Nav Item Selected,
Load World from local storage,Button with confirmation,sessionStore,Session Settings,Console,Parent Nav Item Selected,
export world to text,Button,sessionStore,Session Settings,Console,Parent Nav Item Selected,
import world from text,Button with confirmation,sessionStore,Session Settings,Console,Parent Nav Item Selected,
Select World Preset,Dropdown,sessionStore,Session Settings,Console,Parent Nav Item Selected,
Load World Preset,Button with confirmation,sessionStore,Session Settings,Console,Parent Nav Item Selected,
Composition,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,
Chords,Chords,audioStore,Composition,Console,Parent Nav Item Selected,
Notes,Button,audioStore,Chords,Chord,Parent Nav Item Selected,
delete chord,Button with confirmation,audioStore,Chords,Chord,Parent Nav Item Selected,
Add Chord Here,Button with confirmation,audioStore,Chords,Chord,Parent Nav Item Selected,
Robot Options,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,
Min/Max Robots,Range input,robotStore,Robot Options,Console,Parent Nav Item Selected,
Auto Spawn Robots,Toggle,robotStore,Robot Options,Console,Parent Nav Item Selected,
Spawn Frequency,Slider,robotStore,Robot Options,Console,Parent Nav Item Selected,
New Robot,Button,robotStore,Robot Options,Console,Parent Nav Item Selected,Opens Robot Editor with a newly spawned robot
Robot Editor,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,Shows most recently created robot by default
Robot Editor Navigation,Subnavigation Panel,uiStore,Robot Editor,Robot Editor Console,Parent Nav Item Selected,
Robot Editor Console,Panel,uiStore,Robot Editor ,Console,Parent Nav Item Selected,
Robot Meta,Subnavigation Item,uiStore,Robot Editor,Robot Editor Navigation,Parent Nav Item Selected,
Name,Textbox,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
age,Display,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Persist,Toggle,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Preset selection,Dropdown,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Load Robot preset,Button,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Copy Robot,Dropdown,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Link to Robot,Dropdown,robotStore,Robot Meta,Robot Editor Console,Parent Nav Item Selected,
Robot Audio,Subnavigation Item,uiStore,Robot Editor,Robot Editor Navigation,Parent Nav Item Selected,
"Solo, mute, highlight",radio,robotStore,Robot Audio,Robot Editor Console,Parent Nav Item Selected,
rythmic density,Slider,robotStore,Robot Audio,Robot Editor Console,Parent Nav Item Selected,
note variance,Slider,robotStore,Robot Audio,Robot Editor Console,Parent Nav Item Selected,
octave range,Range input,robotStore,Robot Audio,Robot Editor Console,Parent Nav Item Selected,
New Melody,Button with confirmation,robotStore,Robot Audio,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillators,Subnavigation Item,uiStore,Robot Editor,Robot Editor Navigation,Parent Nav Item Selected,
Robot Oscillator Type,Dropdown,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillator Detune,Dual Speed Stepper,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillator Gain,Dual Speed Stepper,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillator Phase,slider,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillator pulsewidth,Dual Speed Stepper,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Robot Oscillator ADSR Canvas,ASDR Envelope canvas,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
select Robot Oscillator preset,Dropdown,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
load Robot Oscillator preset ,Button with confirmation,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Delete This Oscillator,Button with confirmation,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
New Oscillator,Button,robotStore,Robot Oscillators,Robot Editor Console,Parent Nav Item Selected,
Audio Rig,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,
Audio Rig Navigation,Subnavigation Panel,uiStore,Audio Rig,Console,Parent Nav Item Selected,
Audio Rig Console,Panel,uiStore,Audio Rig,Console,Parent Nav Item Selected,
Audio Meta,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
BPM,Dual Speed Stepper,audioStore,Audio Meta,Audio Rig Console,Parent Nav Item Selected,
Volume Indicator,volume display,audioStore,Audio Meta,Audio Rig Console,Parent Nav Item Selected,
Audio Reverb,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
Reverb Room Size,slider,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Reverb Wet/Dry Mix,slider,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Reverb pre-delay,slider,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Reverb damping,slider,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Reverb width,slider,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Reverb Bypass,Toggle,audioStore,Audio Reverb,Audio Rig Console,Parent Nav Item Selected,
Audio Compression,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
Compression Threshold,slider,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Compression Ratio,slider,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Compression Attack,slider,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Compression Release,slider,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Compression knee,slider,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Compression Bypass,Toggle,audioStore,Audio Compression,Audio Rig Console,Parent Nav Item Selected,
Audio Delay,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
Delay Time,slider,audioStore,Audio Delay,Audio Rig Console,Parent Nav Item Selected,
Delay Feedback,slider,audioStore,Audio Delay,Audio Rig Console,Parent Nav Item Selected,
Delay Wet/dry,slider,audioStore,Audio Delay,Audio Rig Console,Parent Nav Item Selected,
Delay Bypass,Toggle,audioStore,Audio Delay,Audio Rig Console,Parent Nav Item Selected,
Audio Filters,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
high pass cutoff frequency,slider,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
high pass Resonance,slider,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
high pass Bypass,Toggle,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
low pass cutoff frequency,slider,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
low pass Resonance,slider,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
low pass Bypass,Toggle,audioStore,Audio Filters,Audio Rig Console,Parent Nav Item Selected,
Audio Chorus,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
Chorus Rate,slider,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Chorus Depth,slider,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Chorus Delay Time,slider,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Chorus Feedback,slider,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Chorus Wet/Dry,slider,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Chorus Bypass,Toggle,audioStore,Audio Chorus,Audio Rig Console,Parent Nav Item Selected,
Audio EQ,Subnavigation Item,uiStore,Audio Rig,Audio Rig Navigation,Parent Nav Item Selected,
EQ Low,slider,audioStore,Audio EQ,Audio Rig Console,Parent Nav Item Selected,
EQ Mid,slider,audioStore,Audio EQ,Audio Rig Console,Parent Nav Item Selected,
EQ High,slider,audioStore,Audio EQ,Audio Rig Console,Parent Nav Item Selected,
EQ Bypass,Toggle,audioStore,Audio EQ,Audio Rig Console,Parent Nav Item Selected,
Settings,Navigation Item,uiStore,Console Navigation,Console Navigation,Power on,
Length of day,Dual Speed Stepper,oceanStore,Settings Panel,Console,Parent Nav Item Selected,
Theme Selector,Dropdown,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
Fullscreen,Toggle,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
Contact/credits,Display,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
keyboard shortcuts?,Display,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
help?,Button,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
graphic settings?,Dropdown,settingsStore,Settings Panel,Console,Parent Nav Item Selected,
