Group,Label,component,store,Parent
Transport,,,,Root
,Play/Pause,Toggle,Audio Control,
,stop,Button,Audio Control,
,Mute,Toggle,Audio Control,
,Volume,Slider,Audio Control,
,Measure,Display,Audio Control,
,timline scrubber,Dual Speed Stepper,,
,Time of day,Display,Ocean Management,
Instance Settings,,,,File
,New/Reset,Button with confirmation,Session,
,Save to local storage,Button with confirmation,Session,
,Load from local storage,Button with confirmation,Session,
,export to text,Button,Session,
,import from text,Button with confirmation,Session,
Presets,,,,File
,Select Preset,Dropdown,Session,
,Load Preset,Button with confirmation,Session,
World Options,,,,Root
,BPM,Dual Speed Stepper,Audio Control,
,Length of day,Dual Speed Stepper,Ocean Management,
,Volume Indicator,volume display,Audio Control,
Robot Options,,,,Robots
,Max Robots,Dual Speed Stepper,Robot Management,
,Auto Spawn Robots,Toggle,Robot Management,
,Conditional Spawn Rate,Dual Speed Stepper,Robot Management,
,New Robot,Button,Robot Management,
Robots,,,,Root
,Preset selection,Dropdown,Robot Management,
,Load preset,Button,Robot Management,
,Copy Robot,Dropdown,Robot Management,
,Link to Robot,Dropdown,Robot Management,
,Name,Textbox,Robot Management,
,New Oscillator,Button,Robot Management,
,"Solo, mute, highlight",radio,Robot Management,
,rythmic density,Slider,Robot Management,
,note variance,Slider,Robot Management,
,octave range,Range input,Robot Management,
,age,Display,Robot Management,
,Persist,Toggle,Robot Management,
Oscillators,,,,Robots
,Type,Dropdown,Robot Management,
,Detune,Dual Speed Stepper,Robot Management,
,Gain,Dual Speed Stepper,Robot Management,
,Phase,knob,Robot Management,
,pulsewidth,Dual Speed Stepper,Robot Management,
,ASDR Envelope x 4,Dual Speed Stepper,Robot Management,
,select preset,Dropdown,Robot Management,
,load preset ,Button with confirmation,Robot Management,
,Robot visual,Robot Visual,Robot Management,
Note matrix,,,,Root
,Note arrays,Display,Audio Control,
,edit notes,Button,Audio Control,
,note editor,keyboard popover,Audio Control,
,delete measure,Button with confirmation,Audio Control,
,New Measure,Button,Audio Control,
Reverb,,,,Global Audio Effects
,Room Size,knob,Audio Control,
,Wet/Dry Mix,knob,Audio Control,
,pre-delay,knob,Audio Control,
,damping,knob,Audio Control,
,width,knob,Audio Control,
,Bypass,Toggle,Audio Control,
Compression,,,,Global Audio Effects
,Threshold,knob,Audio Control,
,Ratio,knob,Audio Control,
,Attack,knob,Audio Control,
,Release,knob,Audio Control,
,knee,knob,Audio Control,
,Bypass,Toggle,Audio Control,
Delay,,,,Global Audio Effects
,Delay Time,knob,Audio Control,
,Feedback,knob,Audio Control,
,Wet/dry,knob,Audio Control,
,Bypass,Toggle,Audio Control,
High/Low Pass Filters,,,,Global Audio Effects
,cutoff frequency,knob,Audio Control,
,Resonance,knob,Audio Control,
,Bypass,Toggle,Audio Control,
Chorus,,,,Global Audio Effects
,Rate,knob,Audio Control,
,Depth,knob,Audio Control,
,Delay Time,knob,Audio Control,
,Feedback,knob,Audio Control,
,Wet/Dry,knob,Audio Control,
,Bypass,Toggle,Audio Control,
EQ,,,,Global Audio Effects
,Low,knob,Audio Control,
,Mid,knob,Audio Control,
,High,knob,Audio Control,
,Bypass,Toggle,Audio Control,
Data Vis,,,,Root
,TBD,,Audio Control,
Settings Panel,,,,
,Theme Selector,Dropdown,Settings,Settings Panel
,Fullscreen,Toggle,Settings,
,Contact/credits,Display,Settings,
,keyboard shortcuts?,Display,Settings,
,help?,Button,Settings,
,graphic settings?,Dropdown,Settings,
